texto,categoria
"Bom dia enviei o material da aula",nao_spam
"Podemos revisar o documento juntos amanhã",nao_spam
"Segue a planilha com as informações atualizadas",nao_spam
"Preciso confirmar se você recebeu o arquivo",nao_spam
"A reunião de hoje foi adiada",nao_spam
"Vou terminar a atividade depois do almoço",nao_spam
"Você pode revisar meu código por favor",nao_spam
"Enviei a resposta no grupo da turma",nao_spam
"Podemos organizar as tarefas por prioridade",nao_spam
"Segue o link da apresentação do projeto",nao_spam
"Estou analisando os dados do trabalho",nao_spam
"Vamos continuar a implementação amanhã",nao_spam
"Preciso ajustar alguns detalhes no relatório",nao_spam
"Obrigado por enviar as informações",nao_spam
"Você conseguiu acessar o arquivo compartilhado",nao_spam
"Boa tarde finalizei a primeira etapa",nao_spam
"O professor comentou sobre a entrega",nao_spam
"Vamos testar a aplicação antes de apresentar",nao_spam
"Segue a correção feita no documento",nao_spam
"Preciso conversar com você sobre o projeto",nao_spam
"Recebi a mensagem e vou verificar",nao_spam
"A documentação está quase finalizada",nao_spam
"Podemos marcar o estudo para sábado",nao_spam
"Enviei o cronograma para o grupo",nao_spam
"Vou atualizar o arquivo com as mudanças",nao_spam
"Preciso confirmar a sala da apresentação",nao_spam
"O sistema funcionou corretamente no teste",nao_spam
"Você pode enviar a versão mais recente",nao_spam
"Segue o resumo das atividades feitas",nao_spam
"Vamos revisar as perguntas antes da prova",nao_spam
"Boa noite terminei minha parte do trabalho",nao_spam
"Recebi o comprovante e está tudo certo",nao_spam
"Podemos dividir as funções do sistema",nao_spam
"Preciso arrumar a formatação do arquivo",nao_spam
"A entrega foi confirmada pela plataforma",nao_spam
"Vou responder seu email mais tarde",nao_spam
"Você pode me lembrar do horário",nao_spam
"Segue a imagem que você pediu",nao_spam
"Vamos comparar os resultados do teste",nao_spam
"Preciso revisar a lógica do código",nao_spam
"O arquivo foi enviado corretamente",nao_spam
"Podemos fazer uma chamada rápida hoje",nao_spam
"Recebi sua dúvida e vou explicar",nao_spam
"A atividade foi entregue na plataforma",nao_spam
"Vou preparar os slides da apresentação",nao_spam
"Você pode conferir se está funcionando",nao_spam
"Segue a última versão do projeto",nao_spam
"Vamos corrigir os erros encontrados",nao_spam
"Preciso organizar os arquivos da pasta",nao_spam
"Obrigado pela ajuda no teste",nao_spam
"Bom dia podemos marcar uma reunião amanhã",nao_spam
"Segue o relatório solicitado em anexo",nao_spam
"Olá tudo bem com você",nao_spam
"Podemos conversar depois da aula",nao_spam
"Enviei o arquivo por email",nao_spam
"Preciso confirmar o horário da reunião",nao_spam
"A atividade deve ser entregue hoje",nao_spam
"Vamos estudar para a prova amanhã",nao_spam
"Obrigado pelo retorno",nao_spam
"Pode me enviar o documento",nao_spam
"Boa tarde confirmei sua presença na reunião",nao_spam
"Segue a atualização do projeto",nao_spam
"Podemos revisar o trabalho hoje",nao_spam
"Recebi sua mensagem obrigado",nao_spam
"Vou verificar as informações e retorno depois",nao_spam
"Favor enviar o arquivo atualizado",nao_spam
"A reunião foi remarcada para sexta-feira",nao_spam
"Consegui terminar a primeira parte do trabalho",nao_spam
"Você pode confirmar o horário da aula",nao_spam
"Segue a lista de tarefas da semana",nao_spam
"Podemos marcar uma chamada rápida",nao_spam
"Enviei os dados solicitados",nao_spam
"Preciso de ajuda com o exercício",nao_spam
"O documento foi atualizado corretamente",nao_spam
"Vamos revisar o conteúdo antes da prova",nao_spam
"Boa noite obrigado pela ajuda",nao_spam
"Segue o comprovante solicitado",nao_spam
"Podemos discutir isso na próxima reunião",nao_spam
"Estou aguardando sua confirmação",nao_spam
"A entrega do projeto será amanhã",nao_spam
"Consegui acessar o sistema normalmente",nao_spam
"Você pode me mandar o link da aula",nao_spam
"Segue a versão final do arquivo",nao_spam
"Preciso confirmar os dados do cadastro",nao_spam
"Vamos organizar as etapas do projeto",nao_spam
"Recebi o relatório e vou analisar",nao_spam
"A aula começa às oito horas",nao_spam
"Podemos fazer o teste hoje à tarde",nao_spam
"Enviei a apresentação para o grupo",nao_spam
"Obrigado pela explicação",nao_spam
"Vou corrigir o arquivo e enviar novamente",nao_spam
"Segue o resumo da reunião",nao_spam
"Precisamos revisar a documentação técnica",nao_spam
"Você conseguiu finalizar a atividade",nao_spam
"Vamos continuar o projeto amanhã",nao_spam
"Recebi sua solicitação e vou responder",nao_spam
"O professor enviou as instruções do trabalho",nao_spam
"Podemos testar o sistema novamente",nao_spam
"Segue o cronograma atualizado",nao_spam
"Preciso enviar o trabalho até hoje",nao_spam
"Boa tarde, podemos marcar uma reunião amanhã?",nao_spam
"Segue o relatório solicitado",nao_spam
"Olá, tudo bem com você?",nao_spam
"Podemos conversar depois da aula?",nao_spam
"Enviei o arquivo por email",nao_spam
"Preciso confirmar o horário da reunião",nao_spam
"A atividade deve ser entregue hoje",nao_spam
"Vamos estudar para a prova amanhã",nao_spam
"Obrigado pelo retorno",nao_spam
"Pode me enviar o documento?",nao_spam
